Datetime,CO(GT),PT08.S1(CO),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),RH,AH,C6H6(GT)
2004-03-10 18:00:00,2.6,1360.0,1046.0,166.0,1056.0,113.0,1692.0,1268.0,48.9,0.7578,11.9
2004-03-10 19:00:00,2.0,1292.0,955.0,103.0,1174.0,92.0,1559.0,972.0,47.7,0.7255,9.4
2004-03-10 20:00:00,2.2,1402.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,54.0,0.7502,9.0
2004-03-10 21:00:00,2.2,1376.0,948.0,172.0,1092.0,122.0,1584.0,1203.0,60.0,0.7867,9.2
2004-03-10 22:00:00,1.6,1272.0,836.0,131.0,1205.0,116.0,1490.0,1110.0,59.6,0.7888,6.5
2004-03-10 23:00:00,1.2,1197.0,750.0,89.0,1337.0,96.0,1393.0,949.0,59.2,0.7848,4.7
2004-03-11 00:00:00,1.2,1185.0,690.0,62.0,1462.0,77.0,1333.0,733.0,56.8,0.7603,3.6
2004-03-11 01:00:00,1.0,1136.0,672.0,62.0,1453.0,76.0,1333.0,730.0,60.0,0.7702,3.3
2004-03-11 02:00:00,0.9,1094.0,609.0,45.0,1579.0,60.0,1276.0,620.0,59.7,0.7648,2.3
2004-03-11 03:00:00,0.6,1010.0,561.0,,1705.0,,1235.0,501.0,60.2,0.7517,1.7
2004-03-11 04:00:00,,1011.0,527.0,21.0,1818.0,34.0,1197.0,445.0,60.5,0.7465,1.3
2004-03-11 05:00:00,0.7,1066.0,512.0,16.0,1918.0,28.0,1182.0,422.0,56.2,0.7366,1.1
2004-03-11 06:00:00,0.7,1052.0,553.0,34.0,1738.0,48.0,1221.0,472.0,58.1,0.7353,1.6
2004-03-11 07:00:00,1.1,1144.0,667.0,98.0,1490.0,82.0,1339.0,730.0,59.6,0.7417,3.2
2004-03-11 08:00:00,2.0,1333.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,57.4,0.7408,8.0
2004-03-11 09:00:00,2.2,1351.0,960.0,129.0,1079.0,101.0,1583.0,1028.0,60.6,0.7691,9.5
2004-03-11 10:00:00,1.7,1233.0,827.0,112.0,1218.0,98.0,1446.0,860.0,58.4,0.7552,6.3
